edition,country_noc,male_athletes,Mixed,Open,female_athletes,total_athletes
1936 Summer Olympics,NZL,1,0,0,0,1
1936 Summer Olympics,PHI,1,0,0,0,1
1936 Summer Olympics,POL,3,0,3,3,9
1936 Summer Olympics,POR,1,0,0,0,1
1936 Summer Olympics,ROU,1,0,0,0,1
1936 Summer Olympics,RSA,1,0,0,0,1
1936 Summer Olympics,SUI,11,0,3,0,14
1936 Summer Olympics,SWE,17,0,3,0,20
1936 Summer Olympics,TCH,7,0,1,1,9
1936 Summer Olympics,TUR,2,0,0,0,2
1936 Summer Olympics,USA,40,0,1,9,50
1936 Summer Olympics,YUG,1,0,0,0,1
1936 Winter Olympics,AUT,3,1,0,0,4
1936 Winter Olympics,CAN,1,0,0,0,1
1936 Winter Olympics,FIN,4,0,0,0,4
1936 Winter Olympics,FRA,1,0,0,0,1
1936 Winter Olympics,GBR,2,0,0,1,3
1936 Winter Olympics,GER,3,1,0,2,6
1936 Winter Olympics,HUN,0,1,0,0,1
1936 Winter Olympics,NOR,9,0,0,2,11
1936 Winter Olympics,SUI,3,0,0,0,3
1936 Winter Olympics,SWE,6,0,0,1,7
1936 Winter Olympics,USA,4,0,0,0,4
1948 Summer Olympics,ARG,5,0,1,1,7
1948 Summer Olympics,AUS,7,0,0,4,11
1948 Summer Olympics,AUT,0,0,4,4,8
1948 Summer Olympics,BEL,6,0,0,0,6
1948 Summer Olympics,BRA,1,0,0,0,1
1948 Summer Olympics,CAN,2,0,1,1,4
1948 Summer Olympics,CUB,0,0,1,0,1
1948 Summer Olympics,DEN,10,0,4,6,20
1948 Summer Olympics,EGY,5,0,0,0,5
1948 Summer Olympics,ESP,1,0,0,0,1
1948 Summer Olympics,FIN,12,0,4,1,17
1948 Summer Olympics,FRA,24,0,3,2,29
1948 Summer Olympics,GBR,17,0,5,5,27
1948 Summer Olympics,HUN,21,0,1,4,26
1948 Summer Olympics,IND,1,0,0,0,1
1948 Summer Olympics,IRI,1,0,0,0,1
1948 Summer Olympics,IRL,0,0,1,0,1
1948 Summer Olympics,ITA,24,0,4,2,30
1948 Summer Olympics,JAM,2,0,0,0,2
1948 Summer Olympics,KOR,2,0,0,0,2
1948 Summer Olympics,MEX,5,0,0,0,5
1948 Summer Olympics,NED,5,0,2,6,13
1948 Summer Olympics,NOR,6,0,1,0,7
1948 Summer Olympics,PAN,1,0,0,0,1
1948 Summer Olympics,PER,1,0,0,0,1
1948 Summer Olympics,POL,1,0,1,0,2
1948 Summer Olympics,POR,1,0,1,0,2
1948 Summer Olympics,PUR,1,0,0,0,1
1948 Summer Olympics,RSA,4,0,2,0,6
1948 Summer Olympics,SRI,1,0,0,0,1
1948 Summer Olympics,SUI,15,0,2,0,17
1948 Summer Olympics,SWE,40,0,4,1,45
1948 Summer Olympics,TCH,8,0,0,1,9
1948 Summer Olympics,TTO,1,0,0,0,1
1948 Summer Olympics,TUR,12,0,0,0,12
1948 Summer Olympics,URU,2,0,0,0,2
1948 Summer Olympics,USA,60,0,4,9,73
1948 Summer Olympics,YUG,2,0,0,0,2
1948 Winter Olympics,AUT,2,0,0,4,6
1948 Winter Olympics,BEL,1,1,0,0,2
1948 Winter Olympics,CAN,1,1,0,1,3
1948 Winter Olympics,FIN,6,0,0,0,6
1948 Winter Olympics,FRA,2,0,0,0,2
1948 Winter Olympics,GBR,1,0,0,1,2
1948 Winter Olympics,HUN,0,1,0,0,1
1948 Winter Olympics,ITA,1,0,0,0,1
1948 Winter Olympics,NOR,9,0,0,0,9
1948 Winter Olympics,SUI,7,0,0,2,9
1948 Winter Olympics,SWE,8,0,0,0,8
1948 Winter Olympics,TCH,1,0,0,0,1
1948 Winter Olympics,USA,6,0,0,1,7
1952 Summer Olympics,ARG,5,0,0,0,5
1952 Summer Olympics,AUS,6,0,0,2,8
1952 Summer Olympics,AUT,1,0,0,1,2
1952 Summer Olympics,BEL,3,0,0,0,3
1952 Summer Olympics,BRA,3,0,0,0,3
1952 Summer Olympics,BUL,1,0,0,0,1
1952 Summer Olympics,CAN,3,0,0,0,3
1952 Summer Olympics,CHI,2,0,0,0,2
1952 Summer Olympics,DEN,3,0,2,1,6
1952 Summer Olympics,EGY,1,0,0,0,1
1952 Summer Olympics,ESP,1,0,0,0,1
1952 Summer Olympics,FIN,19,0,1,1,21
1952 Summer Olympics,FRA,15,0,1,1,17
1952 Summer Olympics,GBR,6,0,1,4,11
1952 Summer Olympics,GER,18,0,2,3,23
1952 Summer Olympics,HUN,25,0,0,11,36
1952 Summer Olympics,IND,2,0,0,0,2
1952 Summer Olympics,IRI,7,0,0,0,7
1952 Summer Olympics,IRL,1,0,0,0,1
1952 Summer Olympics,ITA,18,0,1,1,20
1952 Summer Olympics,JAM,3,0,0,0,3
1952 Summer Olympics,JPN,7,0,0,0,7
1952 Summer Olympics,KOR,2,0,0,0,2
1952 Summer Olympics,LBN,2,0,0,0,2
1952 Summer Olympics,LUX,1,0,0,0,1
1952 Summer Olympics,MEX,1,0,0,0,1
1952 Summer Olympics,NED,1,0,0,3,4
1952 Summer Olympics,NOR,2,0,3,0,5
1952 Summer Olympics,NZL,1,0,0,2,3
1952 Summer Olympics,POL,4,0,0,0,4
1952 Summer Olympics,POR,0,0,1,0,1
1952 Summer Olympics,ROU,4,0,0,0,4
1952 Summer Olympics,RSA,6,0,0,3,9
1952 Summer Olympics,RUS,40,0,0,15,55
1952 Summer Olympics,SUI,9,0,1,0,10
1952 Summer Olympics,SWE,27,0,5,1,33
1952 Summer Olympics,TCH,9,0,0,2,11
1952 Summer Olympics,TTO,2,0,0,0,2
1952 Summer Olympics,TUR,3,0,0,0,3
1952 Summer Olympics,URU,2,0,0,0,2
1952 Summer Olympics,USA,64,0,3,7,74
1952 Summer Olympics,VEN,1,0,0,0,1
1952 Summer Olympics,YUG,3,0,0,0,3
1952 Winter Olympics,AUT,4,0,0,2,6
1952 Winter Olympics,CAN,2,0,0,0,2
1952 Winter Olympics,FIN,5,0,0,3,8
1952 Winter Olympics,FRA,0,0,0,1,1
1952 Winter Olympics,GBR,0,0,0,1,1
1952 Winter Olympics,GER,2,1,0,2,5
1952 Winter Olympics,HUN,0,1,0,0,1
1952 Winter Olympics,ITA,1,0,0,1,2
1952 Winter Olympics,NED,2,0,0,0,2
1952 Winter Olympics,NOR,12,0,0,0,12
1952 Winter Olympics,SUI,2,0,0,0,2
1952 Winter Olympics,SWE,4,0,0,0,4
1952 Winter Olympics,USA,7,1,0,2,10
1956 Equestrian Olympics,CAN,1,0,0,0,1
1956 Equestrian Olympics,DEN,0,0,1,0,1
1956 Equestrian Olympics,GBR,2,0,1,0,3
