athlete,athlete_id,country_noc,sexo,sport,medal,edition
László Papp,3832,HUN,Men,Boxing,Gold,1952 Summer Olympics
Floyd Patterson,8746,USA,Men,Boxing,Gold,1952 Summer Olympics
Norvel Lee,8717,USA,Men,Boxing,Gold,1952 Summer Olympics
Ed Sanders,8764,USA,Men,Boxing,Gold,1952 Summer Olympics
Terry Spinks,3499,GBR,Men,Boxing,Gold,1956 Summer Olympics
Wolfgang Behrendt,3543,GER,Men,Boxing,Gold,1956 Summer Olympics
Vladimir Safronov,8538,RUS,Men,Boxing,Gold,1956 Summer Olympics
Dick McTaggart,3455,GBR,Men,Boxing,Gold,1956 Summer Olympics
Vladimir Engibaryan,8500,RUS,Men,Boxing,Gold,1956 Summer Olympics
Nicolae Linca,7921,ROU,Men,Boxing,Gold,1956 Summer Olympics
László Papp,3832,HUN,Men,Boxing,Gold,1956 Summer Olympics
Gennady Shatkov,8544,RUS,Men,Boxing,Gold,1956 Summer Olympics
Jim Boyd,8626,USA,Men,Boxing,Gold,1956 Summer Olympics
Pete Rademacher,8749,USA,Men,Boxing,Gold,1956 Summer Olympics
Gyula Török,3849,HUN,Men,Boxing,Gold,1960 Summer Olympics
Oleg Grigoryev,8496,RUS,Men,Boxing,Gold,1960 Summer Olympics
Francesco Musso,4144,ITA,Men,Boxing,Gold,1960 Summer Olympics
Kazimierz Paździor,7756,POL,Men,Boxing,Gold,1960 Summer Olympics
Bohumil Němeček,8267,TCH,Men,Boxing,Gold,1960 Summer Olympics
Nino Benvenuti,4066,ITA,Men,Boxing,Gold,1960 Summer Olympics
Wilbert McClure,8728,USA,Men,Boxing,Gold,1960 Summer Olympics
Eddie Crook,8647,USA,Men,Boxing,Gold,1960 Summer Olympics
Cassius Clay,8643,USA,Men,Boxing,Gold,1960 Summer Olympics
Franco De Piccoli,4105,ITA,Men,Boxing,Gold,1960 Summer Olympics
Fernando Atzori,4059,ITA,Men,Boxing,Gold,1964 Summer Olympics
Takao Sakurai,4256,JPN,Men,Boxing,Gold,1964 Summer Olympics
Stanislav Stepashkin,8552,RUS,Men,Boxing,Gold,1964 Summer Olympics
Józef Grudzień,7728,POL,Men,Boxing,Gold,1964 Summer Olympics
Jerzy Kulej,7744,POL,Men,Boxing,Gold,1964 Summer Olympics
Marian Kasprzyk,7735,POL,Men,Boxing,Gold,1964 Summer Olympics
Boris Lagutin,8514,RUS,Men,Boxing,Gold,1964 Summer Olympics
Valery Popenchenko,8531,RUS,Men,Boxing,Gold,1964 Summer Olympics
Cosimo Pinto,4159,ITA,Men,Boxing,Gold,1964 Summer Olympics
Joe Frazier,8671,USA,Men,Boxing,Gold,1964 Summer Olympics
Francisco Rodríguez,8852,VEN,Men,Boxing,Gold,1968 Summer Olympics
Ricardo Delgado,4553,MEX,Men,Boxing,Gold,1968 Summer Olympics
Valerian Sokolov,8548,RUS,Men,Boxing,Gold,1968 Summer Olympics
Antonio Roldán,4593,MEX,Men,Boxing,Gold,1968 Summer Olympics
Ronnie Harris,8688,USA,Men,Boxing,Gold,1968 Summer Olympics
Jerzy Kulej,7744,POL,Men,Boxing,Gold,1968 Summer Olympics
Manfred Wolke,3582,GDR,Men,Boxing,Gold,1968 Summer Olympics
Boris Lagutin,8514,RUS,Men,Boxing,Gold,1968 Summer Olympics
Chris Finnegan,3403,GBR,Men,Boxing,Gold,1968 Summer Olympics
Danas Pozniakas,8532,RUS,Men,Boxing,Gold,1968 Summer Olympics
George Foreman,8668,USA,Men,Boxing,Gold,1968 Summer Olympics
György Gedó,3801,HUN,Men,Boxing,Gold,1972 Summer Olympics
Georgi Kostadinov,1083,BUL,Men,Boxing,Gold,1972 Summer Olympics
Orlando Martínez,1667,CUB,Men,Boxing,Gold,1972 Summer Olympics
Boris Kuznetsov,8511,RUS,Men,Boxing,Gold,1972 Summer Olympics
Jan Szczepański,7782,POL,Men,Boxing,Gold,1972 Summer Olympics
Ray Seales,8767,USA,Men,Boxing,Gold,1972 Summer Olympics
Emilio Correa,1646,CUB,Men,Boxing,Gold,1972 Summer Olympics
Dieter Kottysch,3620,FRG,Men,Boxing,Gold,1972 Summer Olympics
Vyacheslav Lemeshev,8515,RUS,Men,Boxing,Gold,1972 Summer Olympics
Mate Parlov,8883,YUG,Men,Boxing,Gold,1972 Summer Olympics
Teófilo Stevenson,1683,CUB,Men,Boxing,Gold,1972 Summer Olympics
Jorge Hernández,1656,CUB,Men,Boxing,Gold,1976 Summer Olympics
Leo Randolph,8751,USA,Men,Boxing,Gold,1976 Summer Olympics
Gu Yong-Jo,7794,PRK,Men,Boxing,Gold,1976 Summer Olympics
Ángel Herrera,1659,CUB,Men,Boxing,Gold,1976 Summer Olympics
"Howard Davis, Jr.",8651,USA,Men,Boxing,Gold,1976 Summer Olympics
Sugar Ray Leonard,8719,USA,Men,Boxing,Gold,1976 Summer Olympics
Jochen Bachfeld,3540,GDR,Men,Boxing,Gold,1976 Summer Olympics
Jerzy Rybicki,7769,POL,Men,Boxing,Gold,1976 Summer Olympics
Michael Spinks,8779,USA,Men,Boxing,Gold,1976 Summer Olympics
Leon Spinks,8778,USA,Men,Boxing,Gold,1976 Summer Olympics
Teófilo Stevenson,1683,CUB,Men,Boxing,Gold,1976 Summer Olympics
Shamil Sabirov,8537,RUS,Men,Boxing,Gold,1980 Summer Olympics
Petar Lesov,1086,BUL,Men,Boxing,Gold,1980 Summer Olympics
Juan Hernández Pérez,1657,CUB,Men,Boxing,Gold,1980 Summer Olympics
Rudi Fink,3553,GDR,Men,Boxing,Gold,1980 Summer Olympics
Ángel Herrera,1659,CUB,Men,Boxing,Gold,1980 Summer Olympics
Patrizio Oliva,4149,ITA,Men,Boxing,Gold,1980 Summer Olympics
Andrés Aldama,1636,CUB,Men,Boxing,Gold,1980 Summer Olympics
Armando Martínez,1666,CUB,Men,Boxing,Gold,1980 Summer Olympics
José Gómez,1652,CUB,Men,Boxing,Gold,1980 Summer Olympics
Slobodan Kačar,8875,YUG,Men,Boxing,Gold,1980 Summer Olympics
Teófilo Stevenson,1683,CUB,Men,Boxing,Gold,1980 Summer Olympics
"Paul Gonzales, Jr.",8677,USA,Men,Boxing,Gold,1984 Summer Olympics
Steve McCrory,8729,USA,Men,Boxing,Gold,1984 Summer Olympics
Maurizio Stecca,4181,ITA,Men,Boxing,Gold,1984 Summer Olympics
Meldrick Taylor,8786,USA,Men,Boxing,Gold,1984 Summer Olympics
Pernell Whitaker,8801,USA,Men,Boxing,Gold,1984 Summer Olympics
Jerry Page,8745,USA,Men,Boxing,Gold,1984 Summer Olympics
Mark Breland,8628,USA,Men,Boxing,Gold,1984 Summer Olympics
Frank Tate,8784,USA,Men,Boxing,Gold,1984 Summer Olympics
Sin Jun-Seop,4400,KOR,Men,Boxing,Gold,1984 Summer Olympics
Ante Josipović,8874,YUG,Men,Boxing,Gold,1984 Summer Olympics
Henry Tillman,8787,USA,Men,Boxing,Gold,1984 Summer Olympics
Tyrell Biggs,8620,USA,Men,Boxing,Gold,1984 Summer Olympics
Ivaylo Hristov,7631,BUL,Men,Boxing,Gold,1988 Summer Olympics
Kim Gwang-Seon,4370,KOR,Men,Boxing,Gold,1988 Summer Olympics
Kennedy McKinney,8730,USA,Men,Boxing,Gold,1988 Summer Olympics
Giovanni Parisi,4153,ITA,Men,Boxing,Gold,1988 Summer Olympics
Andreas Zülow,3676,GDR,Men,Boxing,Gold,1988 Summer Olympics
Vyacheslav Yanovsky,8499,RUS,Men,Boxing,Gold,1988 Summer Olympics
Robert Wangila,4325,KEN,Men,Boxing,Gold,1988 Summer Olympics
Park Si-Heon,4396,KOR,Men,Boxing,Gold,1988 Summer Olympics
Henry Maske,3564,GDR,Men,Boxing,Gold,1988 Summer Olympics
Andrew Maynard,8726,USA,Men,Boxing,Gold,1988 Summer Olympics
Ray Mercer,8732,USA,Men,Boxing,Gold,1988 Summer Olympics
Lennox Lewis,1202,CAN,Men,Boxing,Gold,1988 Summer Olympics
Rogelio Marcelo,1664,CUB,Men,Boxing,Gold,1992 Summer Olympics
Choi Chol-Su,7792,PRK,Men,Boxing,Gold,1992 Summer Olympics
Joel Casamayor,1645,CUB,Men,Boxing,Gold,1992 Summer Olympics
Andreas Tews,3664,GER,Men,Boxing,Gold,1992 Summer Olympics
Oscar De La Hoya,8653,USA,Men,Boxing,Gold,1992 Summer Olympics
Héctor Vinent,1686,CUB,Men,Boxing,Gold,1992 Summer Olympics
Michael Carruth,3947,IRL,Men,Boxing,Gold,1992 Summer Olympics
Juan Carlos Lemus,1663,CUB,Men,Boxing,Gold,1992 Summer Olympics
Ariel Hernández,1655,CUB,Men,Boxing,Gold,1992 Summer Olympics
Torsten May,3627,GER,Men,Boxing,Gold,1992 Summer Olympics
Félix Savón,1681,CUB,Men,Boxing,Gold,1992 Summer Olympics
Roberto Balado,1639,CUB,Men,Boxing,Gold,1992 Summer Olympics
Daniel Bozhinov,7629,BUL,Men,Boxing,Gold,1996 Summer Olympics
Maikro Romero,1679,CUB,Men,Boxing,Gold,1996 Summer Olympics
István Kovács,3814,HUN,Men,Boxing,Gold,1996 Summer Olympics
Somluck Kamsing,8306,THA,Men,Boxing,Gold,1996 Summer Olympics
Hocine Soltani,3292,ALG,Men,Boxing,Gold,1996 Summer Olympics
Héctor Vinent,1686,CUB,Men,Boxing,Gold,1996 Summer Olympics
Oleg Saitov,8021,RUS,Men,Boxing,Gold,1996 Summer Olympics
David Reid,8753,USA,Men,Boxing,Gold,1996 Summer Olympics
Ariel Hernández,1655,CUB,Men,Boxing,Gold,1996 Summer Olympics
Vasily Zhirov,4285,KAZ,Men,Boxing,Gold,1996 Summer Olympics
Félix Savón,1681,CUB,Men,Boxing,Gold,1996 Summer Olympics
Volodymyr Klychko,8474,UKR,Men,Boxing,Gold,1996 Summer Olympics
Brahim Asloum,89889,FRA,Men,Boxing,Gold,2000 Summer Olympics
Wijan Ponlid,90019,THA,Men,Boxing,Gold,2000 Summer Olympics
Guillermo Rigondeaux,89874,CUB,Men,Boxing,Gold,2000 Summer Olympics
Bekzat Sattarkhanov,89936,KAZ,Men,Boxing,Gold,2000 Summer Olympics
Mario Kindelán,89871,CUB,Men,Boxing,Gold,2000 Summer Olympics
Mukhammad Kadyr Abdullayev,8806,UZB,Men,Boxing,Gold,2000 Summer Olympics
Oleg Saitov,8021,RUS,Men,Boxing,Gold,2000 Summer Olympics
Yermakhan Ibraimov,4282,KAZ,Men,Boxing,Gold,2000 Summer Olympics
Jorge Gutiérrez,89870,CUB,Men,Boxing,Gold,2000 Summer Olympics
Aleksandr Lebzyak,8016,RUS,Men,Boxing,Gold,2000 Summer Olympics
Félix Savón,1681,CUB,Men,Boxing,Gold,2000 Summer Olympics
Audley Harrison,89899,GBR,Men,Boxing,Gold,2000 Summer Olympics
Yan Barthelemí,106149,CUB,Men,Boxing,Gold,2004 Summer Olympics
Yuriorkis Gamboa,106158,CUB,Men,Boxing,Gold,2004 Summer Olympics
Guillermo Rigondeaux,89874,CUB,Men,Boxing,Gold,2004 Summer Olympics
Aleksey Tishchenko,106226,RUS,Men,Boxing,Gold,2004 Summer Olympics
Mario Kindelán,89871,CUB,Men,Boxing,Gold,2004 Summer Olympics
Manut Boonjumnong,106263,THA,Men,Boxing,Gold,2004 Summer Olympics
Bakhtiyar Artayev,106290,KAZ,Men,Boxing,Gold,2004 Summer Olympics
Gaydarbek Gaydarbekov,90004,RUS,Men,Boxing,Gold,2004 Summer Olympics
Andre Ward,106319,USA,Men,Boxing,Gold,2004 Summer Olympics
Odlanier Solís,106339,CUB,Men,Boxing,Gold,2004 Summer Olympics
Aleksandr Povetkin,106354,RUS,Men,Boxing,Gold,2004 Summer Olympics
Michail Mouroutsos,94113,GRE,Men,Taekwondo,Gold,2000 Summer Olympics
Steven Lopez,94165,USA,Men,Taekwondo,Gold,2000 Summer Olympics
Ángel Matos,94090,CUB,Men,Taekwondo,Gold,2000 Summer Olympics
Kim Gyeong-Hun,94127,KOR,Men,Taekwondo,Gold,2000 Summer Olympics
Lauren Burns,94071,AUS,Women,Taekwondo,Gold,2000 Summer Olympics
Jeong Jae-Eun,94126,KOR,Women,Taekwondo,Gold,2000 Summer Olympics
Lee Seon-Hui,94128,KOR,Women,Taekwondo,Gold,2000 Summer Olympics
Chen Zhong,94084,CHN,Women,Taekwondo,Gold,2000 Summer Olympics
Chu Mu-Yen,108185,TPE,Men,Taekwondo,Gold,2004 Summer Olympics
Hadi Saei,94119,IRI,Men,Taekwondo,Gold,2004 Summer Olympics
Steven Lopez,94165,USA,Men,Taekwondo,Gold,2004 Summer Olympics
Mun Dae-Seong,108229,KOR,Men,Taekwondo,Gold,2004 Summer Olympics
Chen Shih-Hsien,108144,TPE,Women,Taekwondo,Gold,2004 Summer Olympics
Jang Ji-Won,108153,KOR,Women,Taekwondo,Gold,2004 Summer Olympics
Luo Wei,108164,CHN,Women,Taekwondo,Gold,2004 Summer Olympics
Chen Zhong,94084,CHN,Women,Taekwondo,Gold,2004 Summer Olympics
Lawrence Pentland,17799,CAN,Men,Lacrosse,Gold,1904 Summer Olympics
Richard Duckett,17308,CAN,Men,Lacrosse,Gold,1908 Summer Olympics
José de Amézola,80300,ESP,Men,Basque pelota,Gold,1900 Summer Olympics
Launceston Elliot,69034,GBR,Men,Weightlifting,Gold,1896 Summer Olympics
Viggo Jensen,41776,DEN,Men,Weightlifting,Gold,1896 Summer Olympics
Periklis Kakousis,18074,GRE,Men,Weightlifting,Gold,1904 Summer Olympics
Oscar Osthoff,57009,USA,Men,Weightlifting,Gold,1904 Summer Olympics
Frans De Haes,55243,BEL,Men,Weightlifting,Gold,1920 Summer Olympics
Alfred Neuland,55591,EST,Men,Weightlifting,Gold,1920 Summer Olympics
Henri Gance,55665,FRA,Men,Weightlifting,Gold,1920 Summer Olympics
Ernest Cadine,55642,FRA,Men,Weightlifting,Gold,1920 Summer Olympics
Filippo Bottino,56113,ITA,Men,Weightlifting,Gold,1920 Summer Olympics
Pierino Gabetti,56125,ITA,Men,Weightlifting,Gold,1924 Summer Olympics
Edmond Décottignies,55651,FRA,Men,Weightlifting,Gold,1924 Summer Olympics
Carlo Galimberti,56126,ITA,Men,Weightlifting,Gold,1924 Summer Olympics
Charles Rigoulot,55687,FRA,Men,Weightlifting,Gold,1924 Summer Olympics
Giuseppe Tonani,56155,ITA,Men,Weightlifting,Gold,1924 Summer Olympics
Franz Andrysek,55176,AUT,Men,Weightlifting,Gold,1928 Summer Olympics
Hans Haas,55199,AUT,Men,Weightlifting,Gold,1928 Summer Olympics
Kurt Helbig,55827,GER,Men,Weightlifting,Gold,1928 Summer Olympics
Roger François,55664,FRA,Men,Weightlifting,Gold,1928 Summer Olympics
Sayed Nosseir,55552,EGY,Men,Weightlifting,Gold,1928 Summer Olympics
Josef Straßberger,55868,GER,Men,Weightlifting,Gold,1928 Summer Olympics
Raymond Suvigny,55694,FRA,Men,Weightlifting,Gold,1932 Summer Olympics
René Duverger,55660,FRA,Men,Weightlifting,Gold,1932 Summer Olympics
Rudolf Ismayr,55832,GER,Men,Weightlifting,Gold,1932 Summer Olympics
Louis Hostin,55671,FRA,Men,Weightlifting,Gold,1932 Summer Olympics
Jaroslav Skobla,56798,TCH,Men,Weightlifting,Gold,1932 Summer Olympics
Tony Terlazzo,57026,USA,Men,Weightlifting,Gold,1936 Summer Olympics
Robert Fein,55185,AUT,Men,Weightlifting,Gold,1936 Summer Olympics
Anwar Mousbah,55545,EGY,Men,Weightlifting,Gold,1936 Summer Olympics
Khadr El-Touni,55533,EGY,Men,Weightlifting,Gold,1936 Summer Olympics
Louis Hostin,55671,FRA,Men,Weightlifting,Gold,1936 Summer Olympics
Josef Manger,55845,GER,Men,Weightlifting,Gold,1936 Summer Olympics
Joe DePietro,56969,USA,Men,Weightlifting,Gold,1948 Summer Olympics
Mahmoud Fayad,55534,EGY,Men,Weightlifting,Gold,1948 Summer Olympics
Ibrahim Shams,55560,EGY,Men,Weightlifting,Gold,1948 Summer Olympics
Frank Spellman,57022,USA,Men,Weightlifting,Gold,1948 Summer Olympics
Stan Stanczyk,57023,USA,Men,Weightlifting,Gold,1948 Summer Olympics
John Davis,56968,USA,Men,Weightlifting,Gold,1948 Summer Olympics
Ivan Udodov,56938,RUS,Men,Weightlifting,Gold,1952 Summer Olympics
Rapael Chimishk'iani,56935,RUS,Men,Weightlifting,Gold,1952 Summer Olympics
Tommy Kono,56995,USA,Men,Weightlifting,Gold,1952 Summer Olympics
Pete George,56977,USA,Men,Weightlifting,Gold,1952 Summer Olympics
Trofim Lomakin,56906,RUS,Men,Weightlifting,Gold,1952 Summer Olympics
Norb Schemansky,57018,USA,Men,Weightlifting,Gold,1952 Summer Olympics
John Davis,56968,USA,Men,Weightlifting,Gold,1952 Summer Olympics
Chuck Vinci,57034,USA,Men,Weightlifting,Gold,1956 Summer Olympics
Ike Berger,56955,USA,Men,Weightlifting,Gold,1956 Summer Olympics
Igor Rybak,56923,RUS,Men,Weightlifting,Gold,1956 Summer Olympics
Fyodor Bogdanovsky,56892,RUS,Men,Weightlifting,Gold,1956 Summer Olympics
Tommy Kono,56995,USA,Men,Weightlifting,Gold,1956 Summer Olympics
Arkady Vorobyov,56942,RUS,Men,Weightlifting,Gold,1956 Summer Olympics
Paul Anderson,56950,USA,Men,Weightlifting,Gold,1956 Summer Olympics
Chuck Vinci,57034,USA,Men,Weightlifting,Gold,1960 Summer Olympics
Yevgeny Minayev,56910,RUS,Men,Weightlifting,Gold,1960 Summer Olympics
Viktor Bushuyev,56893,RUS,Men,Weightlifting,Gold,1960 Summer Olympics
Aleksandr Kurynov,56903,RUS,Men,Weightlifting,Gold,1960 Summer Olympics
Ireneusz Paliński,56531,POL,Men,Weightlifting,Gold,1960 Summer Olympics
Arkady Vorobyov,56942,RUS,Men,Weightlifting,Gold,1960 Summer Olympics
Yury Vlasov,56941,RUS,Men,Weightlifting,Gold,1960 Summer Olympics
Aleksey Vakhonin,56939,RUS,Men,Weightlifting,Gold,1964 Summer Olympics
Yoshinobu Miyake,56193,JPN,Men,Weightlifting,Gold,1964 Summer Olympics
Waldemar Baszanowski,56500,POL,Men,Weightlifting,Gold,1964 Summer Olympics
Hans Zdražila,56810,TCH,Men,Weightlifting,Gold,1964 Summer Olympics
Rudolf Plyukfelder,56918,RUS,Men,Weightlifting,Gold,1964 Summer Olympics
Vladimir Golovanov,56894,RUS,Men,Weightlifting,Gold,1964 Summer Olympics
Leonid Zhabotinsky,56928,RUS,Men,Weightlifting,Gold,1964 Summer Olympics
Mohammad Nassiri,56051,IRI,Men,Weightlifting,Gold,1968 Summer Olympics
Yoshinobu Miyake,56193,JPN,Men,Weightlifting,Gold,1968 Summer Olympics
Waldemar Baszanowski,56500,POL,Men,Weightlifting,Gold,1968 Summer Olympics
Viktor Kurentsov,56902,RUS,Men,Weightlifting,Gold,1968 Summer Olympics
Boris Selitsky,56927,RUS,Men,Weightlifting,Gold,1968 Summer Olympics
Kaarlo Kangasniemi,55608,FIN,Men,Weightlifting,Gold,1968 Summer Olympics
Leonid Zhabotinsky,56928,RUS,Men,Weightlifting,Gold,1968 Summer Olympics
Zygmunt Smalcerz,56542,POL,Men,Weightlifting,Gold,1972 Summer Olympics
Imre Földi,55950,HUN,Men,Weightlifting,Gold,1972 Summer Olympics
Norayr Nurikyan,55310,BUL,Men,Weightlifting,Gold,1972 Summer Olympics
Mukharby Kirzhinov,56899,RUS,Men,Weightlifting,Gold,1972 Summer Olympics
Yordan Bikov,55283,BUL,Men,Weightlifting,Gold,1972 Summer Olympics
Leif Jensen,56434,NOR,Men,Weightlifting,Gold,1972 Summer Olympics
Andon Nikolov,55309,BUL,Men,Weightlifting,Gold,1972 Summer Olympics
Jaan Talts,56933,RUS,Men,Weightlifting,Gold,1972 Summer Olympics
Vasily Alekseyev,56889,RUS,Men,Weightlifting,Gold,1972 Summer Olympics
Aleksandr Voronin,56943,RUS,Men,Weightlifting,Gold,1976 Summer Olympics
Norayr Nurikyan,55310,BUL,Men,Weightlifting,Gold,1976 Summer Olympics
Nikolay Kolesnikov,56900,RUS,Men,Weightlifting,Gold,1976 Summer Olympics
Pyotr Korol,56901,RUS,Men,Weightlifting,Gold,1976 Summer Olympics
Yordan Mitkov,55308,BUL,Men,Weightlifting,Gold,1976 Summer Olympics
Valery Shary,56930,RUS,Men,Weightlifting,Gold,1976 Summer Olympics
David Rigert,56922,RUS,Men,Weightlifting,Gold,1976 Summer Olympics
Yury Zaytsev,56944,RUS,Men,Weightlifting,Gold,1976 Summer Olympics
Vasily Alekseyev,56889,RUS,Men,Weightlifting,Gold,1976 Summer Olympics
Kanybek Osmonaliyev,56915,RUS,Men,Weightlifting,Gold,1980 Summer Olympics
Daniel Núñez,55469,CUB,Men,Weightlifting,Gold,1980 Summer Olympics
Viktor Mazin,56908,RUS,Men,Weightlifting,Gold,1980 Summer Olympics
Yanko Rusev,55316,BUL,Men,Weightlifting,Gold,1980 Summer Olympics
Asen Zlatev,55334,BUL,Men,Weightlifting,Gold,1980 Summer Olympics
Yuri Vardanyan,56940,RUS,Men,Weightlifting,Gold,1980 Summer Olympics
Péter Baczakó,55933,HUN,Men,Weightlifting,Gold,1980 Summer Olympics
Ota Zaremba,56809,TCH,Men,Weightlifting,Gold,1980 Summer Olympics
Leonid Taranenko,56934,RUS,Men,Weightlifting,Gold,1980 Summer Olympics
Sultanbay Rakhmanov,56921,RUS,Men,Weightlifting,Gold,1980 Summer Olympics
Zeng Guoqiang,55403,CHN,Men,Weightlifting,Gold,1984 Summer Olympics
Wu Shude,55397,CHN,Men,Weightlifting,Gold,1984 Summer Olympics
Chen Weiqiang,55370,CHN,Men,Weightlifting,Gold,1984 Summer Olympics
Yao Jingyuan,55401,CHN,Men,Weightlifting,Gold,1984 Summer Olympics
Karl-Heinz Radschinsky,55856,FRG,Men,Weightlifting,Gold,1984 Summer Olympics
Petre Becheru,56593,ROU,Men,Weightlifting,Gold,1984 Summer Olympics
Nicu Vlad,56620,ROU,Men,Weightlifting,Gold,1984 Summer Olympics
Rolf Milser,55847,FRG,Men,Weightlifting,Gold,1984 Summer Olympics
Norberto Oberburger,56142,ITA,Men,Weightlifting,Gold,1984 Summer Olympics
Dean Lukin,55154,AUS,Men,Weightlifting,Gold,1984 Summer Olympics
Sevdalin Marinov,55304,BUL,Men,Weightlifting,Gold,1988 Summer Olympics
Oksen Mirzoyan,56911,RUS,Men,Weightlifting,Gold,1988 Summer Olympics
Naim Süleymanoğlu,56874,TUR,Men,Weightlifting,Gold,1988 Summer Olympics
Joachim Kunz,55796,GDR,Men,Weightlifting,Gold,1988 Summer Olympics
Borislav Gidikov,55292,BUL,Men,Weightlifting,Gold,1988 Summer Olympics
Israil Arsamakov,56890,RUS,Men,Weightlifting,Gold,1988 Summer Olympics
Anatoly Khrapaty,56228,RUS,Men,Weightlifting,Gold,1988 Summer Olympics
Pavel Kuznetsov,56905,RUS,Men,Weightlifting,Gold,1988 Summer Olympics
Yury Zakharevich,56945,RUS,Men,Weightlifting,Gold,1988 Summer Olympics
Aliaksandr Kurlovich,56904,RUS,Men,Weightlifting,Gold,1988 Summer Olympics
Ivan Ivanov,55295,BUL,Men,Weightlifting,Gold,1992 Summer Olympics
Jeon Byeong-Gwan,56245,KOR,Men,Weightlifting,Gold,1992 Summer Olympics
Naim Süleymanoğlu,56874,TUR,Men,Weightlifting,Gold,1992 Summer Olympics
Israel Militosyan,55124,EUN,Men,Weightlifting,Gold,1992 Summer Olympics
Tudor Casapu,56898,EUN,Men,Weightlifting,Gold,1992 Summer Olympics
Pyrros Dimas,55879,GRE,Men,Weightlifting,Gold,1992 Summer Olympics
K'akhi K'akhiashvili,55887,EUN,Men,Weightlifting,Gold,1992 Summer Olympics
Viktor Tregubov,56937,EUN,Men,Weightlifting,Gold,1992 Summer Olympics
Ronny Weller,55874,GER,Men,Weightlifting,Gold,1992 Summer Olympics
Aliaksandr Kurlovich,56904,EUN,Men,Weightlifting,Gold,1992 Summer Olympics
Halil Mutlu,56868,TUR,Men,Weightlifting,Gold,1996 Summer Olympics
Tang Lingsheng,55390,CHN,Men,Weightlifting,Gold,1996 Summer Olympics
Naim Süleymanoğlu,56874,TUR,Men,Weightlifting,Gold,1996 Summer Olympics
Zhan Xugang,55404,CHN,Men,Weightlifting,Gold,1996 Summer Olympics
Pablo Lara,55461,CUB,Men,Weightlifting,Gold,1996 Summer Olympics
Pyrros Dimas,55879,GRE,Men,Weightlifting,Gold,1996 Summer Olympics
Aleksey Petrov,56636,RUS,Men,Weightlifting,Gold,1996 Summer Olympics
Akakios Kakiasvili,55887,GRE,Men,Weightlifting,Gold,1996 Summer Olympics
Tymur Taimazov,56887,UKR,Men,Weightlifting,Gold,1996 Summer Olympics
Andrey Chemerkin,56640,RUS,Men,Weightlifting,Gold,1996 Summer Olympics
Halil Mutlu,56868,TUR,Men,Weightlifting,Gold,2000 Summer Olympics
Nikolaj Pešalov,55312,CRO,Men,Weightlifting,Gold,2000 Summer Olympics
Galabin Boevski,94926,BUL,Men,Weightlifting,Gold,2000 Summer Olympics
Zhan Xugang,55404,CHN,Men,Weightlifting,Gold,2000 Summer Olympics
Pyrros Dimas,55879,GRE,Men,Weightlifting,Gold,2000 Summer Olympics
Akakios Kakiasvili,55887,GRE,Men,Weightlifting,Gold,2000 Summer Olympics
Hossein Tavakoli,94942,IRI,Men,Weightlifting,Gold,2000 Summer Olympics
Hossein Reza Zadeh,94941,IRI,Men,Weightlifting,Gold,2000 Summer Olympics
Tara Nott,94991,USA,Women,Weightlifting,Gold,2000 Summer Olympics
Yang Xia,94705,CHN,Women,Weightlifting,Gold,2000 Summer Olympics
Soraya Jiménez,94966,MEX,Women,Weightlifting,Gold,2000 Summer Olympics
Chen Xiaomin,94700,CHN,Women,Weightlifting,Gold,2000 Summer Olympics
Lin Weining,94703,CHN,Women,Weightlifting,Gold,2000 Summer Olympics
María Isabel Urrutia,66645,COL,Women,Weightlifting,Gold,2000 Summer Olympics
Ding Meiyuan,94701,CHN,Women,Weightlifting,Gold,2000 Summer Olympics
Halil Mutlu,56868,TUR,Men,Weightlifting,Gold,2004 Summer Olympics
Shi Zhiyong,103555,CHN,Men,Weightlifting,Gold,2004 Summer Olympics
Zhang Guozheng,94706,CHN,Men,Weightlifting,Gold,2004 Summer Olympics
Taner Sağır,104562,TUR,Men,Weightlifting,Gold,2004 Summer Olympics
Giorgi Asanidze,94727,GEO,Men,Weightlifting,Gold,2004 Summer Olympics
Milen Dobrev,104624,BUL,Men,Weightlifting,Gold,2004 Summer Olympics
Dmitry Berestov,104650,RUS,Men,Weightlifting,Gold,2004 Summer Olympics
Hossein Reza Zadeh,94941,IRI,Men,Weightlifting,Gold,2004 Summer Olympics
Nurcan Taylan,103516,TUR,Women,Weightlifting,Gold,2004 Summer Olympics
Udomporn Polsak,103530,THA,Women,Weightlifting,Gold,2004 Summer Olympics
Chen Yanqing,103535,CHN,Women,Weightlifting,Gold,2004 Summer Olympics
Nataliya Skakun,94984,UKR,Women,Weightlifting,Gold,2004 Summer Olympics
Liu Chunhong,104613,CHN,Women,Weightlifting,Gold,2004 Summer Olympics
Pawina Thongsuk,94777,THA,Women,Weightlifting,Gold,2004 Summer Olympics
Tang Gonghong,104596,CHN,Women,Weightlifting,Gold,2004 Summer Olympics
Charles Jacobus,102561,USA,Men,Roque,Gold,1904 Summer Olympics
Evan Noel,17992,GBR,Men,Racquets,Gold,1908 Summer Olympics
Vane Pennell,17993,GBR,Men,Racquets,Gold,1908 Summer Olympics
Orlando Hernández,1496,CUB,Men,Baseball,Gold,1992 Summer Olympics
Omar Ajete,1486,CUB,Men,Baseball,Gold,1996 Summer Olympics
Ben Sheets,89749,USA,Men,Baseball,Gold,2000 Summer Olympics
